id	name_3char	name_en
1	ABW	Aruba
2	AND	Andorra
3	AFG	Afghanistan
4	AGO	Angola
5	ALB	Albania
6	ANT	Netherlands Antilles
7	ARE	United Arab Emirates
8	ARG	Argentina
9	ARM	Armenia
10	ASM	American Samoa
11	ATG	Antigua and Barbuda
12	AUS	Australia
13	AUT	Austria
14	AZE	Azerbaijan
15	BDI	Burundi
16	BEL	Belgium
17	BEN	Benin
18	BFA	Burkina Faso
19	BGD	Bangladesh
20	BGR	Bulgaria
21	BHR	Bahrain
22	BHS	Bahamas
23	BIH	Bosnia and Herzegovina
24	BLR	Belarus
25	BLZ	Belize
26	BMU	Bermuda
27	BOL	Bolivia
28	BRA	Brazil
29	BRB	Barbados
30	BRN	Brunei Darussalam
31	BTN	Bhutan
32	BWA	Botswana
33	CAF	Central African Republic
34	CAN	Canada
35	CHE	Switzerland
36	CHI	Channel Islands
37	CHL	Chile
38	CHN	China
39	CIV	Cote d'Ivoire
40	CMR	Cameroon
41	COG	Congo
42	COL	Colombia
43	COM	Comoros
44	CPV	Cape Verde
45	CRI	Costa Rica
46	CUB	Cuba
47	CYM	Cayman Islands
48	CYP	Cyprus
49	CZE	Czech Republic
50	DEU	Germany
51	DJI	Djibouti
52	DMA	Dominica
53	DNK	Denmark
54	DOM	Dominican Republic
55	DZA	Algeria
56	EAP	East Asia & Pacific (developing only)
57	EAS	East Asia & Pacific (all income levels)
58	ECA	Europe & Central Asia (developing only)
59	ECS	Europe & Central Asia (all income levels)
60	ECU	Ecuador
61	EGY	Egypt
62	EMU	Euro area
63	ERI	Eritrea
64	ESP	Spain
65	EST	Estonia
66	ETH	Ethiopia
67	FIN	Finland
68	FJI	Fiji
69	FRA	France
70	FRO	Faeroe Islands
71	FSM	Micronesia
72	GAB	Gabon
73	GBR	United Kingdom
74	GEO	Georgia
75	GHA	Ghana
76	GIB	Gibraltar
77	GIN	Guinea
78	GMB	Gambia
79	GNB	Guinea-Bissau
80	GNQ	Equatorial Guinea
81	GRC	Greece
82	GRD	Grenada
83	GRL	Greenland
84	GTM	Guatemala
85	GUM	Guam
86	GUY	Guyana
87	HIC	High income
88	HKG	Hong Kong
89	HND	Honduras
90	HPC	Heavily indebted poor countries (HIPC)
91	HRV	Croatia
92	HTI	Haiti
93	HUN	Hungary
94	IDN	Indonesia
95	IMN	Isle of Man
96	IND	India
97	IRL	Ireland
98	IRN	Iran
99	IRQ	Iraq
100	ISL	Iceland
101	ISR	Israel
102	ITA	Italy
103	JAM	Jamaica
104	JOR	Jordan
105	JPN	Japan
106	KAZ	Kazakhstan
107	KEN	Kenya
108	KGZ	Kyrgyzstan
109	KHM	Cambodia
110	KIR	Kiribati
111	KNA	St. Kitts and Nevis
112	KOR	Korea, Rep.
113	KSV	Kosovo
114	KWT	Kuwait
115	LAC	Latin America & Caribbean (developing only)
116	LAO	Lao PDR
117	LBN	Lebanon
118	LBR	Liberia
119	LBY	Libya
120	LCA	St. Lucia
