hs4,M,,,
101,0,,,
102,0,,,
104,0,,,
105,0,,,
106,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,,
301,0,,,
302,0,,,
303,0,,,
304,0,,,
305,0,,,
306,0,,,
307,0,,,
401,0,,,
402,0,,,
403,0,,,
404,0,,,
405,0,,,
406,0,,,
407,0,,,
408,0,,,
409,0,,,
410,0,,,
501,0,,,
502,0,,,
504,0,,,
505,0,,,
506,0,,,
507,0,,,
508,0,,,
510,0,,,
511,0,,,
601,0,,,
602,0,,,
603,0,,,
604,0,,,
701,0,,,
702,0,,,
703,0,,,
704,0,,,
705,0,,,
706,0,,,
707,0,,,
708,0,,,
709,0,,,
710,0,,,
711,0,,,
712,0,,,
713,0,,,
714,0,,,
801,0,,,
802,0,,,
803,0,,,
804,0,,,
805,0,,,
806,0,,,
807,0,,,
808,0,,,
809,0,,,
810,0,,,
811,0,,,
812,0,,,
813,0,,,
814,0,,,
901,1,,,
902,0,,,
904,0,,,
905,0,,,
906,0,,,
907,0,,,
908,0,,,
909,0,,,
910,0,,,
1001,0,,,
1003,0,,,
1004,0,,,
1005,0,,,
1006,0,,,
1007,0,,,
1008,0,,,
1101,0,,,
1102,0,,,
1103,0,,,
1104,0,,,
1105,0,,,
1106,0,,,
1107,0,,,
1108,0,,,
1109,0,,,
1201,0,,,
1202,0,,,
1203,0,,,
1204,0,,,
1206,0,,,
1207,0,,,
1208,0,,,
1209,0,,,
1211,0,,,
1212,0,,,
1213,0,,,
1214,0,,,
1301,0,,,
1302,0,,,
1401,0,,,
1404,0,,,
1501,0,,,
1502,0,,,
1503,0,,,
1504,0,,,
1505,0,,,
1506,0,,,
1507,1,,,
1508,0,,,
1509,0,,,
1510,0,,,
1511,0,,,
1512,0,,,
1513,0,,,
1514,1,,,
1515,0,,,
1516,0,,,
1517,1,,,
1518,0,,,
1520,0,,,
1521,0,,,
1522,0,,,
1601,0,,,
1602,0,,,
1603,0,,,
1604,0,,,
1605,0,,,
1701,0,,,
1702,0,,,
1703,0,,,
1704,1,,,
1801,0,,,
1802,0,,,
1803,0,,,
1804,0,,,
1805,1,,,
1806,1,,,
1901,1,,,
1902,0,,,
1904,0,,,
1905,1,,,
2001,0,,,
2002,0,,,
2003,0,,,
2004,0,,,
2005,1,,,
2006,0,,,
2007,0,,,
2008,0,,,
2009,0,,,
2101,0,,,
2102,0,,,
2103,0,,,
2104,0,,,
2105,0,,,
2106,0,,,
2201,0,,,
2202,0,,,
2203,0,,,
2204,0,,,
2206,0,,,
2207,0,,,
2208,0,,,
2209,0,,,
2301,0,,,
2302,0,,,
2303,0,,,
2304,0,,,
2306,0,,,
2308,0,,,
2309,0,,,
2401,0,,,
2402,0,,,
2403,0,,,
2501,0,,,
2502,0,,,
2503,0,,,
2504,0,,,
2505,0,,,
2506,0,,,
2507,0,,,
2508,0,,,
2509,0,,,
2510,0,,,
2511,0,,,
2512,0,,,
2513,0,,,
2514,0,,,
2515,0,,,
2516,0,,,
2517,0,,,
2518,0,,,
2519,0,,,
2520,0,,,
2521,0,,,
2522,0,,,
2523,0,,,
2525,0,,,
2526,0,,,
2528,0,,,
2529,0,,,
2530,0,,,
2601,0,,,
2602,0,,,
2603,0,,,
2604,0,,,
2605,0,,,
2606,0,,,
2607,0,,,
2608,0,,,
2610,0,,,
2611,0,,,
2613,0,,,
2614,0,,,
2615,0,,,
2616,0,,,
2617,0,,,
2618,0,,,
2619,0,,,
2620,0,,,
2621,0,,,
2701,0,,,
2702,0,,,
2704,0,,,
2706,0,,,
2707,0,,,
2708,0,,,
2709,0,,,
2710,0,,,
2711,0,,,
2712,0,,,
2713,0,,,
2714,0,,,
2715,0,,,
2801,0,,,
2802,0,,,
2803,0,,,
2804,0,,,
2805,0,,,
2806,0,,,
2807,0,,,
2808,0,,,
2809,0,,,
2810,0,,,
2811,0,,,
2812,0,,,
2813,0,,,
2814,0,,,
2815,0,,,
2816,0,,,
2817,0,,,
2818,0,,,
2819,0,,,
2820,0,,,
2821,0,,,
2822,0,,,
2823,0,,,
2824,0,,,
2825,0,,,
2826,0,,,
2827,0,,,
2828,0,,,
2829,0,,,
2830,0,,,
2831,0,,,
2832,0,,,
2833,0,,,
2834,0,,,
2835,0,,,
2836,0,,,
2837,0,,,
2839,0,,,
2840,0,,,
2841,0,,,
2842,0,,,
2843,0,,,
2844,0,,,
2845,0,,,
2846,0,,,
2847,0,,,
2848,0,,,
2849,0,,,
2850,0,,,
2901,0,,,
2902,0,,,
2903,0,,,
2904,0,,,
2905,0,,,
2906,0,,,
2907,0,,,
2908,0,,,
2909,0,,,
2910,0,,,
2911,0,,,
2912,0,,,
2913,0,,,
2914,0,,,
2915,0,,,
2916,0,,,
2917,0,,,
2918,0,,,
2919,0,,,
2920,0,,,
2921,0,,,
2922,0,,,
2923,0,,,
2924,0,,,
2925,0,,,
2926,0,,,
2927,0,,,
2928,0,,,
2929,0,,,
2930,0,,,
2931,0,,,
2932,0,,,
2933,0,,,
2934,0,,,
2935,0,,,
2936,0,,,
2937,0,,,
2938,0,,,
2939,0,,,
2940,0,,,
2941,0,,,
2942,0,,,
3001,0,,,
3002,0,,,
3003,0,,,
3004,0,,,
3005,0,,,
3006,0,,,
3101,0,,,
3102,0,,,
3103,0,,,
3104,0,,,
3105,0,,,
3201,0,,,
3202,0,,,
3203,0,,,
3204,0,,,
3205,0,,,
3206,0,,,
3207,0,,,
3208,0,,,
3209,0,,,
3210,0,,,
3211,0,,,
3212,0,,,
3213,0,,,
3214,0,,,
3215,0,,,
3301,0,,,
3302,0,,,
3303,0,,,
3304,0,,,
3305,0,,,
3306,0,,,
3307,0,,,
3401,0,,,
3402,0,,,
3403,0,,,
3404,0,,,
3405,0,,,
3406,0,,,
3407,0,,,
3501,0,,,
3502,0,,,
3503,0,,,
3504,0,,,
3505,0,,,
