Code,Export,Parent,Year,"Exports, US$","Imports, US$",Revealed comparative advantage,Complexity,Distance,Opportunity gain
0101,Horses,"Vegetables, foodstuffs and wood",2014,74207.484375,22922854,0.011722942814230919,1.8590061664581299,0.9103314280509949,0.8812311291694641
0102,Bovine,"Vegetables, foodstuffs and wood",2014,217725232,10926456,8.385720252990723,0.4312129318714142,0.8877317234873772,0
0103,Swine,"Vegetables, foodstuffs and wood",2014,0,233192,0,2.0347800254821777,0.8920698240399361,0.8810683488845825
0104,Sheep,"Vegetables, foodstuffs and wood",2014,0,0,0,-1.0606651306152344,0.901704840362072,0.19161343574523926
0105,Fowl,"Vegetables, foodstuffs and wood",2014,0,428600,0,0.6927651762962341,0.883452519774437,0.7618315815925598
0106,Other live animals,"Vegetables, foodstuffs and wood",2014,0,5000,0,-1.4803493022918701,0.903201624751091,0.14634239673614502
0201,Beef,"Vegetables, foodstuffs and wood",2014,0,37330688,0,0.43365204334259033,0.903142899274826,0.7914155125617981
0202,Beef (frozen),"Vegetables, foodstuffs and wood",2014,0,717358,0,-0.9468263387680054,0.9101535752415657,0.21572938561439514
0203,Pork,"Vegetables, foodstuffs and wood",2014,0,108857432,0,2.064739942550659,0.9023603051900864,1.3534599542617798
0204,Lamb,"Vegetables, foodstuffs and wood",2014,0,271107,0,-1.2936958074569702,0.9193260222673416,0.15304645895957947
0205,Horse meat,"Vegetables, foodstuffs and wood",2014,3734985.75,0,2.9031777381896973,0.38789260387420654,0.9008210673928261,0
0206,Edible offal,"Vegetables, foodstuffs and wood",2014,138562.671875,37840988,0.006133212707936764,0.2680613696575165,0.9125956892967224,0.6369153261184692
0207,Poultry,"Vegetables, foodstuffs and wood",2014,0,140664800,0,1.2517216205596924,0.8947183415293694,0.8433886766433716
0208,Other meat,"Vegetables, foodstuffs and wood",2014,0,7426,0,1.1302053928375244,0.8974336013197899,0.7994394302368164
0209,Pig and poultry fat,"Vegetables, foodstuffs and wood",2014,0,1788170,0,1.8012100458145142,0.9056496471166611,1.380629062652588
0210,Preserved meat,"Vegetables, foodstuffs and wood",2014,0,4895479,0,1.0956699848175049,0.9082815572619438,0.9437170028686523
0301,Live Fish,"Vegetables, foodstuffs and wood",2014,0,0,0,-1.2419710159301758,0.8912192359566689,0.1746906042098999
0302,"Fish, excluding fillets","Vegetables, foodstuffs and wood",2014,160440,0,0.003428195370361209,-1.5691477060317993,0.9026259183883667,0.057850856333971024
0303,"Frozen fish, excluding fillets","Vegetables, foodstuffs and wood",2014,0,1419216,0,-1.9874491691589355,0.9082588702440262,-0.05568001791834831
0304,Fish fillets,"Vegetables, foodstuffs and wood",2014,0,3761285,0,-1.4473539590835571,0.8971326500177383,0.016657903790473938
0305,Preserved fish,"Vegetables, foodstuffs and wood",2014,0,98258,0,-2.1262619495391846,0.9038539007306099,-0.031804751604795456
0306,Crustaceans,"Vegetables, foodstuffs and wood",2014,67708.2421875,42503,0.0009608510881662369,-2.670370578765869,0.9035471677780151,-0.2779960632324219
0307,Molluscs,"Vegetables, foodstuffs and wood",2014,0,59191,0,-2.1751368045806885,0.9016048684716225,-0.09677601605653763
