countryname,tg2004,tg2005,tg2006,tg2007,tg2008,tg2009,tg2010,tg2011,tg2012,tg2013,tg2014,iso,rank2014
India,7.15,6.99,7.26,7.26,7.24,6.92,7.01,7.05,7.02,6.93,6.98,IND,1
Uganda,6.11,6.01,6.35,6.56,6.53,6.7,6.76,6.83,7.15,7.06,6.04,UGA,2
Kenya,6.32,6.51,6.67,6.36,6.5,6.71,6.52,6.2,6.25,6.5,6,KEN,3
Tanzania,6.11,5.98,6.34,6.65,6.52,6.47,6.19,6.29,6.74,6.3,5.96,TZA,4
"Egypt, Arab Rep.",5,5.18,4.89,5.03,5.16,5.36,5.15,5.29,5.39,5.85,5.83,EGY,5
Madagascar,5.41,5.93,5.72,5.91,5.85,5.98,6.43,6.25,5.9,6.01,5.78,MDG,6
Senegal,5.86,5.98,5.97,6.14,5.66,5.29,5.46,5.26,5.79,5.53,5.77,SEN,7
Philippines,4.43,4.83,5.08,4.83,5.19,4.93,5.09,5.43,5.49,5.58,5.68,PHL,8
Malawi,5.72,5.73,6.08,5.76,6.12,5.26,5.8,5.89,5.78,6.11,5.66,MWI,9
Zambia,5.27,5.09,4.99,5.54,4.94,5.05,5.17,5.34,5.56,5.76,5.55,ZMB,10
Guatemala,4.89,5.08,5.32,5.28,5.16,4.83,5.05,5.21,5.17,5.14,5.22,GTM,11
Pakistan,4.68,4.78,4.83,4.9,4.86,4.87,4.8,5.05,4.89,5.02,5.07,PAK,12
Zimbabwe,5.49,5.54,5.48,5.46,5.72,5.14,5.02,4.92,4.76,5.08,4.93,ZWE,13
Malaysia,4.73,4.64,4.62,4.5,4.51,4.34,4.51,4.71,4.76,4.86,4.87,MYS,14
Indonesia,5.23,5.2,5.14,5.33,4.77,4.47,4.51,4.58,4.84,4.9,4.82,IDN,15
Jordan,4.75,4.63,4.76,5.04,4.79,4.83,4.94,4.83,4.85,4.75,4.81,JOR,16
Vietnam,4.25,4.16,4.41,4.63,4.7,4.51,4.64,4.87,4.75,4.75,4.75,VNM,17
Mali,5.84,5.2,5.08,5.05,5.05,5.33,4.87,5.02,5.57,5.3,4.71,MLI,18
Thailand,4.5,4.48,4.39,4.4,4.37,4.39,4.47,4.76,4.54,4.73,4.7,THA,19
Turkey,4.45,4.56,4.58,4.53,4.42,4.59,4.72,4.72,4.65,4.82,4.66,TUR,20
Mozambique,4.63,4.38,4.84,4.54,4.42,4.54,3.75,4.28,4.29,4.49,4.62,MOZ,21
Guinea,5.07,4.37,4.46,4.48,4.58,4.26,4.29,4.41,4.25,4.01,4.49,GIN,22
Ethiopia,4.98,5,4.86,5.02,4.94,5.1,5,4.56,4.71,4.52,4.41,ETH,23
Mexico,4.68,4.65,4.45,4.51,4.37,4.21,4.38,4.35,4.26,4.38,4.37,MEX,24
Cameroon,3.33,3.44,2.94,4.17,3.82,3.86,4.01,4.59,4.08,3.3,4.35,CMR,25
Honduras,3.95,3.73,3.98,3.86,3.72,3.75,3.92,4.1,4.45,3.91,4.31,HND,26
China,5.2,5.1,4.98,4.89,4.7,4.66,4.7,4.6,4.32,4.34,4.28,CHN,27
"Yemen, Rep.",4.48,4.32,4.32,4.24,4.38,4.6,4.42,4.75,4.88,4.64,4.23,YEM,28
Cote d'Ivoire,4.33,4.23,4.01,4.06,3.92,3.85,3.82,3.89,4.03,4.01,4.15,CIV,29
Israel,4.4,4.39,4.18,4.15,4.17,4.07,4.27,4.3,4.25,4.19,4.12,ISR,30
Kyrgyz Republic,4.74,4.7,5.1,5.2,4.63,4.63,4.21,4.57,5.39,5.23,4.03,KGZ,31
Tunisia,3.28,3.55,3.53,3.78,3.63,3.95,3.83,4.18,4.13,4.14,3.99,TUN,32
Ghana,4.99,4.59,4.53,4.97,4.4,4.17,4.79,4.73,4.27,4.43,3.79,GHA,33
Cambodia,3.12,3.03,3.21,3.3,3.25,3.29,3.16,3.35,3.71,3.62,3.76,KHM,34
"Korea, Rep.",3.6,3.78,3.66,3.6,3.53,3.5,3.66,3.66,3.68,3.82,3.72,KOR,35
South Africa,3.86,3.8,3.62,3.22,3.09,3.26,3.2,2.98,3.36,3.47,3.7,ZAF,36
Tajikistan,4.19,4.26,3.71,3.78,3.62,3.45,3.57,3.68,3.41,3.28,3.67,TJK,37
Uzbekistan,3.88,3.94,3.76,3.97,3.69,3.65,3.85,3.73,3.82,3.51,3.59,UZB,38
Serbia,,3.93,3.77,3.88,3.68,3.59,3.68,3.7,3.73,3.65,3.57,SRB,39
Sri Lanka,3.29,3.49,3.4,3.55,3.53,3.2,3.2,3.53,3.54,3.62,3.57,LKA,40
Paraguay,3.65,3.68,3.75,3.73,3.57,3.62,3.46,3.59,3.56,3.21,3.47,PRY,41
Ukraine,3.92,3.78,3.69,3.66,3.38,3.64,3.67,3.64,3.56,3.54,3.47,UKR,42
Spain,3.59,3.48,3.27,3.14,2.99,2.84,3.09,3.24,3.28,3.4,3.46,ESP,43
Romania,3.36,3.47,3.4,3.45,3.31,3.22,3.39,3.43,3.46,3.52,3.46,ROM,44
Bosnia and Herzegovina,3.1,3.12,3.21,3.35,3.35,3.38,3.37,3.51,3.41,3.44,3.44,BIH,45
Slovak Republic,3.84,3.67,3.51,3.47,3.4,3.56,3.52,3.48,3.45,3.6,3.42,SVK,46
El Salvador,3.12,2.82,3.07,2.99,3.3,3.01,3.06,3.14,3.23,3.35,3.4,SLV,47
Mauritania,3.53,3.64,3.04,3.14,3.04,3.24,2.96,3.2,3.38,3.05,3.39,MRT,48
Papua New Guinea,3.39,3.06,3.06,2.95,3.21,2.95,3.14,3.63,3.75,2.9,3.37,PNG,49
Brazil,4.42,4.6,4.33,4.35,3.84,3.8,3.65,3.5,3.44,3.25,3.34,BRA,50
Hungary,3.53,3.45,3.36,3.4,3.3,3.46,3.45,3.51,3.29,3.35,3.33,HUN,51
Belarus,4.04,3.96,3.77,3.76,3.49,3.59,3.58,3.58,3.59,3.67,3.3,BLR,52
Bangladesh,3.1,3.32,3.24,3.44,3.27,3.14,3.01,3.25,3.41,3.24,3.27,BGD,53
Poland,3.85,3.72,3.48,3.37,3.21,3.12,3.25,3.24,3.25,3.23,3.26,POL,54
United Kingdom,3.63,3.43,3.24,3.23,3.03,3.16,3.21,3.24,3.16,3.21,3.22,GBR,55
Bulgaria,3.22,3.24,3.15,3.29,3.03,2.98,3.24,3.19,3.22,3.29,3.19,BGR,56
Estonia,3.03,3.17,3.01,3.02,3.05,3.09,3.2,3.21,3.07,3.19,3.18,EST,57
Switzerland,3.54,3.38,3.07,3.1,3,3.16,3.13,3.14,3.23,3.22,3.12,CHE,58
Portugal,2.84,2.75,2.66,2.74,2.74,2.73,2.81,2.99,2.98,3.1,3.12,PRT,59
Czech Republic,3.75,3.41,3.22,2.94,2.78,3.01,3.23,3.2,2.95,3.04,3.11,CZE,60
Slovenia,3.78,3.45,3.24,3.18,3.03,3.23,3.27,3.19,3.11,3.16,3.11,SVN,61
Ireland,3.39,3.29,3.09,2.73,3.28,2.99,3.09,3.28,2.9,3.09,3.08,IRL,62
Nicaragua,3.12,3.03,3.01,3.06,3.24,3.13,2.86,3.21,3.53,3.04,3.08,NIC,63
Dominican Republic,3.15,3.23,3.29,3.38,3.2,3.05,3.22,3.23,3.21,2.96,3.07,DOM,64
Finland,3.84,3.57,3.46,3.39,3.16,3.26,3.24,3.1,3.01,3.1,3.05,FIN,65
Morocco,2.98,3.21,3.2,3.17,2.9,3,3.17,3.01,3.31,3.35,3.05,MAR,66
Nigeria,2.73,2.83,3.35,3.53,3.34,3.52,3.25,3.26,3.74,3.42,3.05,NGA,67
Lebanon,3.68,4.05,3.99,4.21,3.88,3.7,3.59,3.63,3.25,3.8,3.04,LBN,68
Colombia,3.97,3.88,3.89,3.9,3.98,3.98,3.62,3.28,3.17,3.44,3.02,COL,69
Croatia,3.11,3.1,2.96,3,2.92,2.9,2.99,3.03,2.97,3.05,2.99,HRV,70
Lithuania,2.41,3.01,2.99,2.91,2.76,2.87,3.01,2.92,2.85,2.89,2.99,LTU,71
Lao PDR,3.51,3.59,3.42,3.68,3.54,3.34,3.19,3.11,3.26,3.11,2.92,LAO,72
Costa Rica,3.23,3.28,3.07,3.11,3.19,2.93,3.06,3.29,3.28,3.19,2.91,CRI,73
