iso,tg2003,tg2004,tg2005,tg2006,tg2007,tg2008,tg2009,tg2010,tg2011,tg2012,tg2013,rank2013
IND,7.92,7.68,7.61,8,8.13,7.99,7.67,7.69,7.79,7.73,7.89,1
UGA,6.04,6.32,6.15,6.56,6.72,6.74,6.84,6.87,7.06,7.29,7,2
KEN,6.46,6.48,6.95,7.03,6.62,6.7,6.89,6.77,6.33,6.43,6.74,3
MWI,5.32,5.83,5.79,6.09,5.76,6.08,5.55,5.71,5.99,5.9,6.54,4
TZA,5.98,6.45,6.24,6.75,6.87,6.97,6.86,6.48,6.42,6.82,6.54,5
EGY,5.61,5.11,5.47,5.02,5.19,5.29,5.66,5.61,5.59,5.56,6.03,6
MDG,5.69,5.51,5.99,5.77,6.02,5.84,5.93,6.55,6.15,5.74,5.85,7
ZMB,7.22,5.45,5.19,4.92,5.47,5,5.07,5.05,5.3,5.61,5.82,8
SEN,6.11,6.02,6.1,6.19,6.4,5.76,5.31,5.52,5.26,5.72,5.53,9
PHL,4.67,4.76,4.58,5.03,4.71,5.08,5.03,5.13,5.39,5.38,5.53,10
MLI,5.35,5.84,5.26,5.01,4.96,5,5.37,4.68,4.86,5.02,5.37,11
GTM,5.02,4.88,5.17,5.46,5.47,5.26,5.04,5.06,5.36,5.25,5.3,12
TUR,4.73,4.94,4.98,4.97,4.96,4.73,4.98,5.21,5.25,5.09,5.29,13
KGZ,4.67,4.85,4.7,5.08,5.09,4.67,4.62,4.2,4.68,5.42,5.25,14
IDN,5.94,5.7,5.63,5.52,5.76,5.44,5.3,4.88,5.09,5.02,5.15,15
PAK,4.87,4.94,5.06,5.01,5.07,5.14,5.09,5.09,5.4,4.95,5.13,16
ZWE,5.63,5.61,5.58,5.56,5.56,5.8,5.16,4.94,4.78,4.74,4.93,17
VNM,4.25,4.39,4.24,4.64,4.88,4.66,4.55,4.74,5.16,4.89,4.91,18
MYS,4.88,4.76,4.43,4.44,4.37,4.38,4.3,4.55,4.68,4.87,4.89,19
THA,4.78,4.61,4.48,4.5,4.38,4.48,4.53,4.63,4.83,4.71,4.89,20
JOR,4.59,4.87,4.73,4.87,5.01,4.94,4.83,5.01,4.92,4.91,4.78,21
MOZ,5.07,4.63,4.5,5.07,4.57,4.46,4.91,3.81,4.39,4.41,4.63,22
CHN,5.57,5.54,5.39,5.25,5.16,5.01,4.94,4.96,4.76,4.64,4.56,23
GHA,5.59,5,4.61,4.55,5,4.31,4.27,4.77,4.81,4.13,4.5,24
YEM,3.59,4.37,4.33,4.22,4.25,4.53,4.58,4.3,4.8,4.53,4.45,25
MEX,4.67,4.71,4.63,4.41,4.58,4.35,4.32,4.37,4.32,4.29,4.43,26
ETH,5.28,5,5.04,4.85,5.14,5.06,5.25,4.97,4.53,4.58,4.41,27
ISR,4.45,4.55,4.54,4.25,4.27,4.26,4.22,4.26,4.35,4.48,4.38,28
TUN,3.64,3.34,3.67,3.63,4,3.66,4.07,3.96,4.23,4.15,4.18,29
GIN,4.58,5.15,4.46,4.5,4.55,4.52,4.3,4.35,4.43,4.32,4.17,30
CIV,4.37,4.42,4.27,4.05,4.01,3.96,3.87,3.81,3.95,3.93,4.05,31
HND,4.11,4,3.82,3.97,3.87,3.7,3.81,3.92,4.12,4.01,3.94,32
BLR,4.19,3.92,3.89,3.69,3.55,3.4,3.63,3.34,3.48,3.81,3.91,33
LBN,3.89,3.93,4.39,4.3,4.4,4.2,3.91,3.9,3.97,3.26,3.87,34
SRB,,,4.18,4.04,4.01,3.9,3.78,3.86,4,3.84,3.87,35
KOR,3.61,3.73,3.81,3.72,3.66,3.49,3.59,3.8,3.8,3.72,3.85,36
AGO,5.49,4.34,3.14,2.99,2.93,2.91,2.63,2.97,2.94,3.17,3.71,37
SVK,3.94,3.93,3.7,3.51,3.47,3.38,3.42,3.48,3.52,3.42,3.69,38
ROM,3.38,3.44,3.67,3.6,3.59,3.46,3.27,3.42,3.6,3.65,3.67,39
UKR,4.47,4.11,3.96,3.87,3.89,3.55,3.7,3.89,3.82,3.75,3.65,40
BIH,2.85,2.91,3.19,3.26,3.38,3.46,3.37,3.52,3.58,3.71,3.63,41
CHE,3.44,3.42,3.31,2.95,2.91,2.94,3.12,3.17,3.28,3.26,3.62,42
BRA,4.76,4.6,4.82,4.56,4.5,4.07,3.95,3.87,3.77,3.62,3.62,43
UZB,3.93,3.81,3.98,3.82,4.04,3.83,3.68,3.99,3.79,3.97,3.62,44
ESP,3.93,3.75,3.62,3.45,3.23,3.01,2.91,3.15,3.31,3.37,3.6,45
