Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Japan,1,1,1,1,1,1,1,1,1,1,1
Switzerland,4,4,3,4,3,2,2,3,2,2,2
Germany,2,2,2,2,2,3,3,2,3,3,3
South Korea,17,14,9,9,8,10,8,5,5,5,4
Sweden,3,3,5,3,4,4,4,4,4,4,5
Finland,5,5,4,5,5,6,5,8,8,8,6
Austria,7,8,6,6,6,5,6,6,6,7,7
Czech Republic,9,11,10,10,9,8,9,7,7,6,8
United Kingdom,6,7,7,7,7,7,7,9,9,9,9
Slovakia,16,16,17,17,13,14,13,14,13,15,10
Slovenia,11,12,12,11,11,15,11,13,12,12,11
United States,8,6,8,8,10,9,10,10,10,10,12
Hungary,19,18,18,15,15,13,12,11,11,11,13
France,10,9,11,12,12,11,15,12,14,13,14
Italy,14,15,15,18,14,16,17,15,15,14,15
Ireland,13,10,14,14,19,12,14,16,16,17,16
Belarus,22,24,22,21,24,24,22,24,21,20,17
Belgium,15,17,16,16,18,18,18,18,18,19,18
Denmark,12,13,13,13,16,17,16,17,17,16,19
Israel,24,22,21,24,23,21,24,21,19,18,20
China,35,37,37,34,30,27,27,26,23,22,21
Mexico,20,21,20,19,17,20,23,20,25,24,22
Poland,26,23,24,22,22,22,19,19,20,21,23
Netherlands,18,19,19,20,20,19,20,22,22,23,24
Thailand,37,36,39,37,37,33,29,28,28,27,25
Spain,23,20,23,23,21,23,21,23,24,25,26
Estonia,31,30,28,27,25,26,32,27,27,31,28
Croatia,30,28,27,28,27,25,25,25,26,29,29
Norway,21,25,25,26,26,32,30,30,34,40,31
Canada,25,27,26,25,29,31,26,29,33,33,36
