name;share;groups;presence;description;color
111;.1430925;1;0;"Growing of cereals (except rice), leguminous crops and oil seeds";"#F0411A"
112;.1430925;1;0;"Growing of rice";"#1FA454"
113;.1906015;1;0;"Growing of vegetables and melons, roots and tubers";"#F0411A"
114;.1430925;1;0;"Growing of sugar cane";"#1FA454"
115;.1430925;1;0;"Growing of tobacco";"#1FA454"
116;.1430925;1;1;"Growing of fibre crops";"#1FA454"
119;.1906015;1;0;"Growing of other non-perennial crops";"#1FA454"
121;.4050238;1;0;"Growing of fruits";"#F0411A"
126;.2145955;1;0;"Growing of oleaginous fruits";"#1FA454"
127;.071503;1;0;"Growing of beverage crops";"#F0411A"
128;.2621044;1;0;"Growing of spices, aromatic, drug and pharmaceutical crops";"#1FA454"
129;.2229184;1;0;"Growing of other perennial crops";"#F0411A"
130;.0798259;1;0;"Plant propagation";"#1FA454"
141;.0284492;2;0;"Raising of cattle and buffaloes";"#F0411A"
142;.0284492;2;0;"Raising of horses and other equines";"#F0411A"
143;.0228033;2;0;"Raising of camels and camelids";"#1FA454"
145;.0228033;2;0;"Raising of swine/pigs";"#F0411A"
146;.0228033;2;0;"Raising of poultry";"#1FA454"
149;.0512525;2;0;"Raising of other animals";"#F0411A"
163;.1430925;3;0;"Post-harvest crop activities";"#1FA454"
210;.032317;3;0;"Silviculture and other forestry activities";"#1FA454"
220;.1836459;3;0;"Logging";"#F0411A"
240;.032317;3;0;"Support services to forestry";"#F0411A"
321;.0228033;4;0;"Marine aquaculture";"#1FA454"
322;.0228033;4;0;"Freshwater aquaculture";"#F0411A"
510;.2560535;5;0;"Mining of hard coal";"#F0411A"
520;.0075799;5;1;"Mining of lignite";"#F0411A"
610;3.569337;6;0;"Extraction of crude petroleum";"#1FA454"
620;3.569337;6;0;"Extraction of natural gas";"#1FA454"
710;.3029392;5;0;"Mining of iron ores";"#1FA454"
721;.0019663;5;1;"Mining of uranium and thorium ores";"#1FA454"
729;.3171549;5;0;"Mining of other non-ferrous metal ores";"#F0411A"
810;.2136381;5;0;"Quarrying of stone, sand and clay";"#1FA454"
891;.0515551;5;0;"Mining of chemical and fertilizer minerals";"#F0411A"
892;.0043267;5;0;"Extraction of peat";"#F0411A"
893;.0102442;5;0;"Extraction of salt";"#F0411A"
899;.1657352;5;0;"Other mining and quarrying n.e.c.";"#F0411A"
